English,Ukrainian
absolute advantage,абсолютна перевага
absolute assignment,безумовне перевідступлення прав; безумовна цесія; безвідкличне перевідступлення прав; безвідклична цесія; безвідкличне відступлення вимог; безумовне відступлення вимоги
absolute covenant,безумовне зобов'язання; безумовна угода
absolute credit limitation,абсолютне кредитне обмеження
absolute guarantee,безумовна гарантія
absolute liability,абсолютна відповідальність
absolute title,бездефектний правовий титул; виключне право; необтяжене право власності
absolute total loss,повна загибель майна (страх.); повна загибель предмета страхування
absorption capacity,здатність до освоєння
absorption costing,калькуляція з повним розподілом витрат
absorption rate,нормативна ставка накладних видатків
abstract of account,виписка за рахунком (повідомлення про перелік операцій із рахування й списання та залишок коштів на рахунку); виписка з рахунку (розм.)
abuse of tax havens,зловживання податковим притулком
accelerate a debt (v.),пред'являти борг для дострокового стягнення; оголошувати про дострокове стягнення боргу; скорочувати термін погашення кредиту (дія кредитора в разі порушення зобов 'язань позичальником або ж за обумовлених обставин)
accelerate a loan (v.),пред'являти кредит для дострокового стягнення: оголошувати про дострокове стягнення кредиту; скорочувати термін погашення кредиту (дія кредитора в разі порушення зобов'язань позичальником або ж за обумовлених обставин)
accelerated capital allowance,прискорена амортизація
accelerated cost recovery system (ACRS),система прискореної амортизації; прискорене відшкодування витрат (на підготовку проекту); система дострокового стягнення; прискорене стягнення (з клієнта) вартості банківских послуг; система прискореного відновлення вартості основних коштів
accelerated depreciation,прискорена амортизація; прискорене нарахування зношення
acceleration clause,положення про дострокове стягнення кредиту; застереження щодо дострокового Ппогашення кредиту
acceleration of maturity,пред'явлення до дострокового стягнення; дострокове настання терміну погашення; скорочення строків погашення; дострокове стягнення
Accept,"«Прийняти до оплати» (згода на оплату платіжної вимоги, переказного векселя, тратти; резолюція на документі)"
accept a bill for honour (v.),акцептувати вексель для врятування кредиту векселедавця
accept as a pledge (v.),приймати як заставу; приймати як забезпечення
accept for insurance (v.),приймати на страхування
accept supra protest (v.),акцептувати опротестований вексель
acceptability,прийнятність (платіжної вимоги)
acceptable security,прийнятне забезпечення; задовільна застава
acceptance,акцепт; приймання; прийняття; акцептований вексель; прийнята до сплати платіжна вимога
acceptance act,акт здавання-прийняття
acceptance and return,акцептування й повернення (платіжної вимоги)
acceptance certificate,акт прийняття; приймальна відомість
acceptance commission,комісійний збір за акцепт
acceptance credit,акцептний кредит; вексельний кредит
acceptance delivery act,приймально-здавальний акт; приймальноздавальна відомість
acceptance financing,акцептне фінансування
acceptance house,акцептний банк; акцептний дім |Англія|
acceptance in blank,бланковий акцепт
acceptance liability,зобов'язання щодо акцептів
acceptance of bill of exchange,вексельний акцепт
acceptance of customs security,визнання митного забезпечення (митними органами іншої країни)
acceptance receipt,прибуткова квитанція
acceptance register,передавальна відомість; передавальний акт
acceptance report,акт прийняття
acceptance slip,свідоцтво про прийняття на страхування
acceptance supra protest,акцептування векселя для врятування кредиту векселедавця
accepted accounting principles,загальноприйняті норми бухгалтерського обліку: загальноприйняті норми фінансової звітності
accepting bank,акцептуючий банк
accepting house,акцептний банк; акцептний дім |Англія|
acceptor,"акнептант, трасат"
access all areas,прохід всюди; прохід скрізь (категорія перепустки)
access course,"підготовчий курс; прискорений курс; прискорена підготовка; прискорене навчання; мінімальне навчання осіб, які не мають належної кваліфікації для виконання доручених їм функцій"
access information,інформація про сеанс зв'язку
